,time,output,current
9772,31415.07149213576,3.6283543,-0.67952252
9773,31416.07149218326,3.6281967,-0.67958167
9774,31417.07149223075,3.6283937,-0.67958167
9775,31418.07149227825,3.6282754,-0.67946344
9776,31419.07149232575,3.628315,-0.67958167
9777,31420.07149237324,3.6280391,-0.67948315
9778,31421.07149242074,3.6281967,-0.67968024
9779,31422.07149246824,3.6281574,-0.67966058
9780,31423.07149251574,3.6281178,-0.67968024
9781,31424.07149256323,3.6279998,-0.6797197300000001
9782,31425.07149261073,3.6279209,-0.67958167
9783,31426.07149265823,3.6277633,-0.67948315
9784,31427.07149270573,3.6277239,-0.6796211499999999
9785,31428.07149275322,3.6276846,-0.67964087
9786,31429.07149280072,3.627645,-0.6795422999999999
9787,31430.07149284822,3.6277633,-0.67964087
9788,31431.07149289572,3.6278422,-0.67977887
9789,31432.07149294321,3.6275663,-0.6795620099999999
9790,31433.07149299071,3.6277633,-0.67977887
9791,31434.07149303821,3.627527,-0.67946344
9792,31435.07149308571,3.6273301,-0.67948315
9793,31436.0714931332,3.6274087,-0.6795422999999999
9794,31437.0714931807,3.6273301,-0.6795028099999999
9795,31438.0714932282,3.6274087,-0.67966058
9796,31439.0714932757,3.6270936,-0.6795028099999999
9797,31440.07149332319,3.6272511,-0.6797197300000001
9798,31441.07149337069,3.6272511,-0.67968024
9799,31442.07149341819,3.6269753,-0.67942395
9800,31443.07149346569,3.6271329,-0.6796211499999999
9801,31444.07149351318,3.6268573,-0.67952252
9802,31445.07149356068,3.6270936,-0.6795620099999999
9803,31446.07149360818,3.6268573,-0.67964087
9804,31447.07149365568,3.626936,-0.6796211499999999
9805,31448.07149370317,3.626739,-0.6795028099999999
9806,31449.07149375067,3.626936,-0.67970001
9807,31450.07149379817,3.6267784,-0.67968024
9808,31451.07149384567,3.626739,-0.6796013799999999
9809,31452.07149389316,3.6266997,-0.67944366
9810,31453.07149394066,3.6266601,-0.6796211499999999
9811,31454.07149398816,3.6265421,-0.67942395
9812,31455.07149403566,3.6265025,-0.6795422999999999
9813,31456.07149408315,3.6264238,-0.6795620099999999
9814,31457.07149413065,3.6265814,-0.67970001
9815,31458.07149417815,3.6264238,-0.6795620099999999
9816,31459.07149422565,3.6263845,-0.6795028099999999
9817,31460.07149427314,3.6262662,-0.6797197300000001
9818,31461.07149432064,3.6262269,-0.6796013799999999
9819,31462.07149436814,3.6260693,-0.67948315
9820,31463.07149441564,3.6262269,-0.6795620099999999
9821,31464.07149446313,3.6261873,-0.67968024
9822,31465.07149451063,3.6259904,-0.6796211499999999
9823,31466.07149455813,3.6259904,-0.67958167
9824,31467.07149460563,3.6261086,-0.67958167
9825,31468.07149465312,3.6259904,-0.6797197300000001
9826,31469.07149470062,3.6258721,-0.6797197300000001
9827,31470.07149474812,3.6259117,-0.6795422999999999
9828,31471.07149479561,3.6257541,-0.67966058
9829,31472.07149484311,3.6257145,-0.6795422999999999
9830,31473.07149489061,3.6257935,-0.67964087
9831,31474.07149493811,3.6258328,-0.67970001
9832,31475.0714949856,3.6256752,-0.6795422999999999
9833,31476.0714950331,3.6255965,-0.6796013799999999
9834,31477.0714950806,3.6255176,-0.67958167
9835,31478.0714951281,3.6255965,-0.67970001
9836,31479.07149517559,3.62536,-0.6795028099999999
9837,31480.07149522309,3.62536,-0.67952252
9838,31481.07149527059,3.6253994,-0.6796013799999999
9839,31482.07149531809,3.6252813,-0.6795620099999999
9840,31483.07149536558,3.6251237,-0.6795620099999999
9841,31484.07149541308,3.6250055,-0.6796013799999999
9842,31485.07149546058,3.6250842,-0.67958167
9843,31486.07149550808,3.6251237,-0.6795028099999999
9844,31487.07149555557,3.6250448,-0.67968024
9845,31488.07149560307,3.6250842,-0.6798380100000001
9846,31489.07149565057,3.6250448,-0.6795620099999999
9847,31490.07149569807,3.6248872,-0.67958167
9848,31491.07149574556,3.6249266,-0.6796013799999999
9849,31492.07149579306,3.6250448,-0.67964087
9850,31493.07149584056,3.6246903,-0.67966058
